Group,site,species,intercept,slope,Persistence,Mean,Median
Birds,mountainbird_maine,RedbreastedNuthatch,0.010122356,-1.804038442,0.545454546,3.363636364,1
Birds,mountainbird_maine,RedeyedVireo,NA,NA,0.272727273,0.545454546,0
Birds,mountainbird_maine,RubycrownedKinglet,0.008945956,-1.674712524,0.545454546,2,1
Birds,mountainbird_maine,SlatecoloredJunco,0.034895618,-0.972810734,0.545454546,8.545454546,3
Birds,mountainbird_maine,SwainsonsThrush,0.186912575,-1.911721227,1,55.63636364,57
Birds,mountainbird_maine,WhitethroatedSparrow,0.008324726,0.030073825,1,63.72727273,65
Birds,mountainbird_maine,YellowbelliedFlycatcher,0.019851206,-2.699993679,0.545454546,3.909090909,3
Birds,mountainbird_maine,YellowrumpedWarbler,NA,NA,0.272727273,0.818181818,0
Birds,mountainbird_ny,AmericanRobin,0.001756066,-1.993839309,0.272727273,0.545454546,0
Birds,mountainbird_ny,BicknellsThrush,0.101256382,-3.34748073,1,73.63636364,79
Birds,mountainbird_ny,BlackandwhiteWarbler,0.00202743,-1.99554012,0.272727273,0.636363636,0
Birds,mountainbird_ny,BlackburnianWarbler,0.001923881,2.126776348,0.454545455,0.727272727,0
Birds,mountainbird_ny,BlackcappedChickadee,0.00178382,-0.334006541,0.545454546,2.545454546,1
Birds,mountainbird_ny,BlackpollWarbler,0.011762415,0.137512546,1,127.1818182,135
Birds,mountainbird_ny,BlackthroatedBlueWarbler,0.00062165,-0.214101765,0.545454546,2.363636364,1
Birds,mountainbird_ny,BlackthroatedGreenWarbler,0.004366308,-0.268607538,0.545454546,5.363636364,2
Birds,mountainbird_ny,BlueheadedVireo,0.005704308,-1.12247512,0.545454546,3.727272727,2
Birds,mountainbird_ny,BlueJay,0.002560704,-1.168772681,0.545454546,2.363636364,1
Birds,mountainbird_ny,BorealChickadee,0.003142789,-0.999120384,0.454545455,2,0
Birds,mountainbird_ny,BrownCreeper,0.002261258,-1.287003042,0.363636364,1.181818182,0
Birds,mountainbird_ny,CanadaWarbler,0.000751523,-0.696126055,0.363636364,0.454545455,0
Birds,mountainbird_ny,CedarWaxwing,0.005697921,-8.01763211,0.454545455,2.454545455,0
Birds,mountainbird_ny,CommonRaven,0.002383161,-1.78318584,0.454545455,1.727272727,0
Birds,mountainbird_ny,DarkeyedJunco,0.018147841,-7.142933216,0.363636364,7.363636364,0
Birds,mountainbird_ny,EurasianWren,0.136961571,0.916464299,1,119.9090909,123
Birds,mountainbird_ny,GoldencrownedKinglet,0.007781799,-1.052651893,0.545454546,6,6
Birds,mountainbird_ny,HairyWoodpecker,0.003036437,-0.751201686,0.363636364,0.818181818,0
Birds,mountainbird_ny,HermitThrush,0.020681625,1.488044301,0.545454546,9.818181818,4
Birds,mountainbird_ny,LeastFlycatcher,2.78E-15,0.024124739,0.454545455,1.272727273,0
Birds,mountainbird_ny,MagnoliaWarbler,0.026976942,-1.373805809,0.545454546,18.18181818,15
Birds,mountainbird_ny,MourningDove,0.001820498,-1.961957858,0.363636364,0.818181818,0
Birds,mountainbird_ny,MyrtleWarbler,0.074650778,0.63040962,0.545454546,36.27272727,36
Birds,mountainbird_ny,NashvilleWarbler,0.005533707,-0.418307033,0.545454546,8.818181818,2
Birds,mountainbird_ny,Ovenbird,0.000829199,2.394348593,0.454545455,1.181818182,0
Birds,mountainbird_ny,PurpleFinch,0.006902504,-0.677752648,0.545454546,5.363636364,6
Birds,mountainbird_ny,RedbreastedNuthatch,0.008223414,-0.996271893,0.545454546,6,5
Birds,mountainbird_ny,RedeyedVireo,0.003565005,-2.086776999,0.545454546,2.454545455,1
Birds,mountainbird_ny,RubycrownedKinglet,0.005332888,-1.002496597,0.545454546,4.272727273,1
Birds,mountainbird_ny,SlatecoloredJunco,0.003853862,-0.142785351,0.545454546,15.54545455,10
Birds,mountainbird_ny,SwainsonsThrush,0.17812996,-4.622470149,1,135,148
Birds,mountainbird_ny,WhitethroatedSparrow,0.233459935,-2.778258456,1,161.1818182,160
Birds,mountainbird_ny,YellowbelliedFlycatcher,0.029878895,-1.333454167,0.545454546,20.18181818,17
Birds,mountainbird_ny,YellowbelliedSapsucker,0.003437232,-1.842520804,0.454545455,2.181818182,0
Birds,mountainbird_ny,YellowrumpedWarbler,0.037095733,1.579845847,0.363636364,10.27272727,0
