Year	Site	total	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	22	23	26	27	28	29	31	32	33	34	35	36	37
1988	Buoy.125	437.6108333	0	0.187	51.959	0	0.731	44.181	22.951	31.054	7.633	139.6256667	13.5075	26.4995	1.936	0.094	0	40.7625	0.0225	18.253	38.16916667	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	Buoy.125	266.8175	0	0.252	28.9005	0	1.419	3.416	5.352333333	38.17216667	3.378	44.38666667	1.431	43.37266667	32.143	2.389	0.025	15.34	0.025	13.84916667	32.966	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	Buoy.125	348.325	0.2385	0.036	66.9145	0	0.9095	29.6425	45.5515	1.8215	1.2465	56.7505	0.8605	47.344	15.0535	5.6225	0.5	22.577	0.1475	19.7255	32.6235	0	0	0	0	0	0.76	0	0	0	0	0	0	0	0
1991	Buoy.125	335.792	0.0475	0	41.949	0	0.158	52.5985	50.358	0.857	1.4355	46.4545	1.0275	27.983	19.0915	2.8305	0.5665	33.9715	0.064	13.9145	42.485	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	Buoy.125	186.1276667	0	0	13.3825	0	0.617833333	4.2205	39.59033333	34.59616667	0	34.56566667	0.609666667	5.6045	9.9605	3.042833333	0.114333333	5.496666667	0	19.80033333	14.52583333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	Buoy.125	124.7836667	0	0	12.46533333	0	0	0	0.296	17.62066667	0.0925	15.63233333	0.8695	55.16783333	2.173	11.32183333	0	0.154166667	0	0.531333333	8.459166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	Buoy.125	125.076	11.2335	0.014	1.702	0.9575	0	0	9.815	22.9135	0	4.5885	0.3625	54.9875	3.426	3.196	0	0.014	0	3.343	8.523	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	Buoy.125	156.2935	6.348	0.02	2.066	0	0.3985	15.7725	1.4225	58.3915	0	7.324	4.6785	4.01	21.6915	0.14	0	0.16	0	5.452	28.166	0.0675	0	0	0	0	0	0	0	0	0	0	0.185	0	0
1996	Buoy.125	214.7181667	0	0	1.737	0	5.33E-02	50.47	11.78966667	48.94316667	0	36.95283333	0.035	25.6135	13.4545	1.3475	0	0	0	6.828	17.23866667	0	0	0	0	0	0.255	0	0	0	0	0	0	0	0
1997	Buoy.125	230.4066667	0	0	7.045833333	0	0.5575	44.52333333	11.29916667	30.06166667	0	21.35333333	1.48	62.14083333	12.07166667	3.900833333	0	0.0475	0	15.89916667	18.90583333	0	0	0	0	0	0.94	0.18	0	0	0	0	0	0	0
1998	Buoy.125	265.0516667	0.05	0	3.918666667	0	0	63.396	45.90683333	0	2.683333333	19.15316667	7.77	32.869	16.895	3.531333333	0	20.766	0.08	9.219333333	37.763	0	0	0	0	0	0	0	0	0	1.05	0	0	0	0
1999	Buoy.125	261.3048333	0.3625	0	3.960666667	0	0.06	113.7865	27.05583333	3.921666667	0	15.1615	1.779166667	22.72516667	31.40333333	1.375833333	0	0.425	0	8.065166667	20.8135	0	3.783333333	0	6.625666667	0	0	0	0	0	0	0	0	0	0
2000	Buoy.125	249.6295	0.195	0.035	57.75083333	0	0.035	65.871	33.759	19.35616667	0.35	21.089	0	15.363	14.28666667	2.316333333	0	0.025	4.67E-02	3.645666667	4.1035	0	0	0	11.40166667	0	0	0	0	0	0	0	0	0	0
2001	Buoy.125	449.1365	0	0	23.90833333	0	0	203.5905	32.17683333	24.338	0	18.6235	2.6725	46.469	17.884	6.946	0	0.37	0.1385	30.43316667	11.13383333	0	18.26566667	0	12.18666667	0	0	0	0	0	0	0	0	0	0
2002	Buoy.125	304.6688333	4.200833333	0	20.05833333	0	0.921333333	29.61083333	58.90766667	4.44	0.1	29.11716667	9.780833333	16.14233333	37.19283333	2.2975	0	8.474666667	0.15	18.2585	11.157	0	32.47316667	0	8.9675	0	0	12.14833333	0	0	0	0	0.27	0	0
2003	Buoy.125	369.1378333	1.615	0.3375	17.0645	0	0.16	128.6595	52.3295	15.821	0.1675	24.6155	3.3985	9.4055	20.072	1.851	0	52.3165	0.1025	17.641	11.869	0	0	0	0	9.101833333	1.47	0	0	0	0	0	0	0	1.14
2004	Buoy.125	376.5415	1.1875	0	8.675833333	0	0.525	109.285	24.14483333	52.4875	0	40.18216667	4.9125	34.981	23.62766667	12.61916667	0	7.5655	0.0425	9.883833333	19.99916667	0	6.225	0	13.975	0	0.515	4.107333333	0	0	0	0	0	0	1.6
2005	Buoy.125	343.1331667	1.174	0	17.721	0	0	10.214	31.7205	31.4285	0.276	14.1065	8.4445	47.7435	42.5005	8.6405	0	13.559	0	35.7725	31.6205	0	15.94533333	0	15.0125	0	0	17.25383333	0	0	0	0	0	0	0
2006	Buoy.125	341.1953333	0.5075	0	17.44	0	0.0625	52.73583333	46.5565	0.205	0	53.6195	7.175833333	62.31033333	7.183	4.305	0	3.671666667	0.1725	24.8435	25.28333333	0	26.02983333	0	1.27	0	0	7.7985	0	0	0	0	0.025	0	0
1975	Shackelton.Point	-1728.792167	0	0	34.193	0	1.05	53.8415	0	53.3685	0.7875	14.68416667	8.7725	75.80333333	0	0.3385	0	0	0.4865	2.3305	23.55183333	0	0	0	0	0	0	0	0	-1998	0	0	0	0	0
1976	Shackelton.Point	-2791.311	0	0	0.549666667	0	3.33E-02	20.91	9.17E-02	75.66766667	0	21.253	0.1	58.55033333	0	1.121666667	0	0	0.133333333	2.421333333	24.857	0	0	0	0	0	0	0	0	-1998	-999	0	0	0	0
