Year	site	total	APRA	ASNU	ASTE	ASTR1	BAMU	CHIN	CIOC	COCA	COCO	CRCR	CRMI	CRYP1	DEPI	DIWI	ERAB	ERBE	GAPA	GRSQ	GSDL1	HECI	HIMU	HODR	HOGL	HYOD	LEGO	LESQ1	LEVI	MAFE	NAHI	OENO1	OEPR	PAOB	PHAC1	PHCO	PLMU	PLPA	PSDL1	SCAR	SIIR	SILE	SOOL	SPAI	SPSA	STEX	TAAN	UKFO?	UKFO1	UKFO2	UKFO3	UKFO4	UKFO5	UKFO8	VUOC
1996	COLL4	0.229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069	0	0	0.09	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	COLL4	26.344	0	0	0	0	0	0	0	0	0.217	0	0	0	0.293	0	0	0.027	0	0.224	0	0	0	0	0	25.447	0	0	0	0	0	0	0	0	0	0	0	0	0.132	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	COLL4	2.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.973	0	1.661	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	COLL4	0.081	0	0	0	0	0	0	0	0	0	0	0	0	0.015	0	0	0	0	0.066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	COLL4	1.24	0	0	0	0	0	0	0	0	0	0	0	0	1.215	0	0	0	0	0	0	0.009	0	0	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	COLL4	0.467	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.462	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	COLL4	3.935	0.02	0	0	0	0	0	0	0	0.002	0	0	0	0.009	0	0	0	0	0.066	0	0.643	0	0	0	3.195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	COLL4	1.866	0	0	0	0	0	0	0	0	0	0	0	0	1.54	0	0	0	0	0	0	0.035	0	0	0	0.274	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	COLL4	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	COLL4	26.097	0.134	0	0	0	0	0	0	0.03	2.179	0	0	0	1.576	0	0	0	0	0.888	0	3.97	0	0	0	17.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
