Year	site	total	ACWR	AMAR	AMAR1	AMPA	AMPU	APRA	ARAD	ARGL	ARHA	ARIS1	ARLO	ARNE	ARPU	ARPU1	ARWR	ASNU	ASTE	ASTE1	ASTR1	BAAB	BAMU	CABA	CAJA	CHIN	COCO	CONI	CRAN	CRCR	CRMI	CRPO	CRYP1	DAPU	DEPI	DIWI	ERAB	ERAN	ERDV	ERIO1	ERPU	ERRO	EUAL	FABA1	HAGR	HEHU	HOGL	LEGO	LESQ1	LIVE	MACH1	MALI	MAPI	MEPU	MSDL1	MUPO	NAHI	PECT1	PEPA	PHAC1	PHIN	POOL	PORT1	PSTA	SAKA	SCAR	SELE	SOEL	SPIN	SPOR1	SPSU	SPVEG	TECO	TILA	UKFO1	UKFO8	UKGR1	UKGR2	UKGS1	XASA	XASP1
2001	NORT2	5.828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0.19	1.689	0	0	0	0	0	0	0	1.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	NORT2	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.095	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	NORT2	13.475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.286	13.179	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	NORT2	10.957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.957	0	0	0	0	0	0	0	0	0	0	0
2005	NORT2	71.453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
2006	NORT2	1.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63	0	0	0	0	0	0	0	0	0	0	0
2007	NORT2	1351.407	0	0	0	0	0	0	0	0	0	2.248	0	0	0	0	0	0	0	0	0	0	5.102	0.661	0	0	0	0	0	0	0	0	0	1.618	9.782	1010.608	0	0	0	0	0	0	2.643	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0.82	0	0	0	0	317.889	0	0	0	0	0	0.029	0	0	0	0	0
2008	NORT2	0.575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198	0	0	0	0	0	0	0	0	0	0.286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.091	0	0	0	0	0	0	0	0	0	0	0
1989	NORT3	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0
1990	NORT3	67.089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.156	0	0	0	0	0	0	0	0	0.266	0	0	0	0	0	0.667	0	0	0	0	0	0	0	0	0	0
1991	NORT3	0.136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136	0	0	0	0	0	0	0	0	0	0
1992	NORT3	81.766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.083	0	0	0	0	0	0	0	0	0.457	0	0	0	0	0	1.021	8.87	0	0	0	0	0	0	0	0	0
1993	NORT3	53.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.387	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0.073	0	0	0	0	0	0	0	0	0	0
1994	NORT3	46.098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	NORT3	53.405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.753	0	0	0	0	9.6	0.097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.624	0	0	0	0	0	0	0	0	1.331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	NORT3	25.839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	NORT3	33.976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.816	0	0	0	0	0	0	0	0	0.119	0	0	0	0	0.109	0	0	0	0	0	0	0	0	0	0	0
1999	NORT3	7.138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	NORT3	53.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	NORT3	19.913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	9.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.853	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0
2002	NORT3	16.087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	NORT3	31.297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.063	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	4.122	0	0	0	0	0	0	0	0	0	0	0	0	0	1.109	0	0	0	0	0	0	0	0	0	0	0
2004	NORT3	3.373	0.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.815	0	0	0	0	0	0	0	0	0	0	0	0	0	0.496	0	0	0	0	0	0	0	0	0	0	0
