Year	site	total	APRA	ARGL	ARIS1	ARNE	ARWR	ASAL	ASMO	ASNU	ASTE	ASTR1	BAAB	BOER	CAWR	CHIN	CHST	COCO	CRAN	CRPT	CRYP1	DAPU	DECO	DEPI	DIWI	ERAB	ERDI	ERIO1	ERPU	ERRO	ERTE	ERTR	GILI1	GSDL1	HAGR	HIMU	HODR	HOGL	LEER	LEFE	LEGO	LELA	LEPI1	LESQ1	LEVI	LIBI	MAFE	MAPI	MELE	MILI	MUAR	MUPO	NAHI	OEAL	OEPR	PAHA	PENA	PHAC1	PHCO	PLMU	PLPA	RANE	SCAR	SCBR	SELO	SIIR	SILE	SOEL	SOOL	SPAI	SPIN	SPOR1	SPSU	SPVEG	STAR	STEX	TOAN	TSDL1	UKFO1	UKFO7	UKFOa	UKGR1	VEWR
1993	EAST2	190.094	0	0	0	0	0	0	0	0	0	0	0	56.511	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.026	0	0	0	117.973	0	0	0	0	0.02	0.82	0	0	0	0	0	0	0	0	1.014	11.539	0	0	0	0	0.241	0	0	0	0	0	0	0.885	0	0	0	0	0	0	0	0	0.502	0	0	0	0	0.533	0	0	0	0	0
1994	EAST2	234.252	0	0	0	0	0	0	0	0	0	0	0	56.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163.712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.538	12.403	0	0	0	0	0	0	0	0	0	0	0	0.789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	EAST2	72.941	0	0	0	0	0	0	0	0.027	0	0.006	0	0	0	0.001	0	0	0	0	0	0	0	0.312	0	0	0	0	0	0	0	0.077	0	0	0	0	0	0	0	0	0.193	6.042	0	0	0	0	0	0	0	0	0.002	5.648	0	0	0	0	0.207	0	0.068	59.483	0	0	0	0.332	0	0	0	0	0	0	0	0	0.543	0	0	0	0	0	0	0	0	0	0
1996	EAST2	120.944	0	0	0	0	0	0	0	0	0	0	0	50.165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111	11.661	0	0	0	0	0	0	0	58.499	0	0	0	0.395	0	0	0	0	0	0	0	0	0.113	0	0	0	0	0	0	0	0	0	0
1997	EAST2	94.412	0	0	0	0	0	0	0	0	0	0	0	58.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.25	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.145	0	0	0	0	0.246	0	0	0	0	0
1998	EAST2	97.422	0	0	0	0	0	0	0	0	0	0	0	65.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	31.659	0	0	0	0	0	0	0	0.093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082	0	0	0	0	0
1999	EAST2	106.266	0	0	0	0	0	0	0	0.01	0	0	0	72.408	0	0	0	0	0	0	0	0	0	0.044	0	0	0	0	0	0	0	0.023	0	0	0	0	0	0	0	0	0.021	0	0	0	0.209	0	0	0	0	0	0.016	32.73	0	0	0	0	0.132	0	0.036	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.636	0	0	0	0	0	0	0	0	0	0
2000	EAST2	46.238	0	0	0	0	0	0	0	0	0	0	0	28.505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.722	0	0	0	0	0	0	0	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	EAST2	60.75	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.038	0	0	0	0	0	0	0	0	0	0.204	0	0.027	0.003	0	0.163	0	0	0	0	59.666	0	0	0	0	0.182	0.008	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.427	0	0	0	0	0.016	0	0	0	0	0
2002	EAST2	23.365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
