Year	site	total	APRA	ARGL	ARHA	ARIS1	ARLO	ARNE	ARWR	ASAL	ASNU	ASTE1	ASTR1	BAAB	BAMU	CHCO	CHIN	CRAN	CRCR	CRMI	CRYP1	DAPU	DEPI	DIWI	ERAB	ERAN	ERIO1	ERPU	ERRO	ERTR	EUAL	GSDL1	HYOD	LESQ1	LIBI	LIVE	MAFE	MALI	MEPU	MSDL1	MUPO	NAHI	PECT1	PHAC1	PLPA	PSDL1	PSTA	SAKA	SCAR	SELE	SPOR1	SPSU	SPVEG	STEX	TILA	UKFO1	UKFO5	UKGR1	UKGS1	XANT1	XASA	XASP	XASP1
2004	NORT3	1.181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	NORT3	140.641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	137.605	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.986	0	0	0	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	NORT3	0.787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	NORT3	333.289	0	0	0	0	0	0	0	0	0	0	0	0	0.725	0	0	0	0	0	0.012	0.006	11.758	288.815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	5.369	0.143	0	26.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	NORT4	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0
1991	NORT4	17.362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039	0	0	0	0	0	0	0	0	0	0	0	0	17.323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	NORT4	17.984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.852	0	0	0	0	0	0	0	0	0	0	0	0.051	0	0	0	0	0	0	0	0	0	0
1993	NORT4	21.202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.594	0	0	0	0	0	0	0.46	0	0	0	0.019	0.17	0	0	0	0	0	0	0	0	0	0
1994	NORT4	6.586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	NORT4	9.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.986	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038	0	0	0	0.005	0	0	0	0	0	0	0	0	0.011	0	0
1997	NORT4	0.055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0
1998	NORT4	7.087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.015	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	NORT4	0.791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.646	0.145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	NORT4	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	NORT4	16.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	NORT4	11.098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	10.952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	NORT4	5.798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	NORT4	43.838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	21.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	NORT4	1.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	NORT4	145.715	0	0	0	0	0	0	0	0	0	0	0	0	0.476	0	0	0	0	0	0	0.005	3.091	114.802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.342	0	0	0	0	0	0	0	0	0	0	0.999	0	0	0	0	0	0	0	0	0	0	0
1990	RABB	122.999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.323	0	0	0	0	0	0	0	0	0	0	0	0	122.272	0	0	0	0	0	0	0	0	0	0	0	0.404	0	0	0	0	0	0	0	0	0	0
1991	RABB	121.915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	2.889	0	0	0	0	0	0	0	0	0	0	0	0	118.632	0	0	0	0	0	0	0	0	0	0	0	0.393	0	0	0	0	0	0	0	0	0	0
1992	RABB	183.232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.497	0	0	0	0	0	0	0	0	0	0	0	0	179.127	0	0	0	0	0	0	0	0	0	0	0	0.608	0	0	0	0	0	0	0	0	0	0
1993	RABB	204.595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.808	0	0	0	0	2.953	0	0	0	0	0	0	0	0	0	0	0	0	194.743	0	0	0	0	0	0	0.254	0	0	0	0	1.837	0	0	0	0	0	0	0	0	0	0
1994	RABB	274.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.074	0	0	0	0	0	0	0	0	0	0	0	0	272.74	0	0	0	0	0	0	0	0	0	0	0	0.386	0	0	0	0	0	0	0	0	0	0
1995	RABB	155.453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0.016	22.688	0	0	0	0	0	0	0	0.045	0	0	0	0	0	0	0	0	0	132.679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0
1996	RABB	157.979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157.979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
