Year	site	total	ALIN	ALLI1	AMCH	APRA	ARGL	ARIS1	ARLO	ARNE	ARPU	ARWR	ASAL	ASMO	ASNU	ASTE	ASTR1	ASWO	BAAB	BAPE	BOER	CAWR	CHCO	CHIN	COCO	CRAN	CRBA	CRCR	CRMI	CRPO	CRYP1	CRYP2	DAPU	DEPI	DYPE	ERAB	ERBE	ERDI	ERDV	ERPU	ERRO	ERTE	ERTR	EUSE	EUST	EVNU	HAGR	HIMU	HODR	HOFF1	HOGL	HYVE	LEER	LEFE	LEGO	LELA	LESQ1	LEVI	LUCO	MAFE	MAPI	MATA	MELE	MENT1	MUAR	MUPO	NAHI	OENO1	PAHA	PAHI	PENA	PHAC1	PHCO	PHIN	PHPO	PLMU	PLPA	RANE	SAKA	SCBR	SELO	SIPH	SOEL	SPAI	SPAN	SPOR1	SPSU	SPVEG	STAR	STEX	TAAN	TAAU	TALI1	TECO	TSDL1	UKFO1	UKFO5	UKFO6	VEWR	VUOC	XASP
2008	EAST1	225.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	EAST2	179.84	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0	0	0	131.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.685	8.889	0	0	0	0	6.368	0	0	0	0	0	0	0	0	17.911	0	0	0.084	0	0	0	5.364	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	EAST2	59.112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.249	0	0	0	0	0	0.326	0	0	0	0	0	0	0	0	12.997	0	0	0	0	0	0	0.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	EAST2	135.151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.519	0	0	0	0	40.939	0	0	0	0	0	0	0.06	0.057	0	0	0	0	0	0	0	0	6.62	15.83	0	0	0	0	0.786	0	0	0	0	0	0	0	0	13.825	0	0	0	0	0	0	2.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	EAST2	420.84	0	0	2.707	0	0	0	0	0	0	0	0	0	0	0	0	0	12.502	0	63.539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.153	0	0	0	0	189.93	0	0	0	0	0	0	1.244	9.292	0	0	0	0	0	0	0	0	8.872	10.793	0	0	0	0	12.392	0	0	0	0	0	0	0	0	21.197	0	0	21.943	0	0	0	46.276	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	EAST2	209.854	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	37.43	0	0	0	0	113.173	0	0	0	0	0	0	0	3.073	0	0	0	0	0	0	0	0	4.226	0.716	0	0	0	0	7.092	0	2.847	0	0	0	0	0	0	12.787	0	0	0.106	0	0	0	3.125	0.058	0	0	0	0	0	0.157	0	0	0	0	0	0	0
1994	EAST2	161.547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79.913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.596	10.523	0	0	0	0	0	0	0	0	0	0	0	0	0	1.963	0	0	0	0	0	0.03	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	EAST2	279.949	0	0	0	0	0	0	0	0	0	0	0	0	0.053	0	0	0	0.053	0	70.448	0	0	0.002	0	0	0	0	0	0	0	0	0	2.793	0	0	0	0	0	0	0	0	51.352	0	0	0	0	0	0	0	0	0	0	0	7.511	83.173	0	0	0	0	0	0	0	0	0.709	6.095	0	0	0	0	6.593	0.169	0	0	0	38.132	0	0	0	7.549	0	0	0.149	0	0	0	5.168	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	EAST2	94.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.313	8.268	0	0	0	0	0	0	0	0	0	77.992	0	0	0	7.807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	EAST2	142.056	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0.779	6.449	0	0	0	0	0.543	0	0	0	0	47.754	0	0	0	13.139	0	0	0.222	0	0	0.174	0.553	0	0	0	0	0	0.021	0	0	0	0	0	0	0	0
