Year	site	total	AMAR1	AMBL	AMPA	AMPU	APRA	ASCL1	ASNU	ASSU	ASTE1	ASTR1	BAMU	BAPE	CAWR	CHIN	CIOC	COCA	COCO	CRAN	CRCR	CYES	DECO	DEPI	DIWI	ERAB	ERAG1	ERBE	ERDV	ERIG1	EUAL	EUGL	EUMI	EUSE	EUSR	EUST	GAPA	GRSQ	HAGR	HEAN	HECI	HIMU	HODR	HOGL	HYOD	IPLO	IPPU	KAHI	LEFE	LEGO	LEVS	MAFE	NAHI	PAOB	PAOBS	PEPA	PHAC1	PHCO	PHIN	PLMU	PLPA	POOL	PROB1	PSDL1	PSTA	SAKA	SILE	SOEL	SONU	SOOL	SPAI	SPSA	SPSU	TAAN	TALI1	TECO	TILA	UKFO1	UKFO2	UKFO4	UKFO5	VEBR	VEEN	VERB1	VEWR	VUOC
1990	COLL2	991.326	0	0	0	0	10.681	0	0	0	0	0	0	0	0	0	0	0	2.034	0	0	0	0	1.861	0	0	0	0	0	0	0	0	0	0	0	0	0.103	14.531	0	0	110.484	0	0	47.49	622.542	0	0	0	0	0	0	0	0	110.6	0	0	0	0	0	0	0	0	0	0	0	0	42.726	0	0	0	0	28.274	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	COLL2	4.327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.504	0	0	0.434	0	0	0	0	0	0	0	0	0	0	0	0	1.805	0	0	0	0	0	0	0	0	0	0	0	0	0.584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	COLL2	1997.488	0	0	0	0	311.094	0	0	0	0	0	0	0	0	0	0	0	31.335	0	0	0	0	0.399	0	0	0	0	0	0	0	0	0	0	0	0	0	108.936	0	0	170.973	0	0	56.542	768.445	0	0	0	0	0	0	0	0	379.938	0	0	0	0	0	0	0	0	0	0.003	0	0	111.695	0	0	0	0	58.128	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	COLL2	66.509	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	5.45	0	0	0	0	0	0	0	0	0	0	0	0	0	12.202	0	0	7.932	0	0	0.114	5.278	0	0	0	0	0	0	0	0	33.059	0	0	0	0	0	0	0	0	0	0	0	0	1.671	0	0	0	0	0.771	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	COLL2	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	COLL2	178.497	0	0	0	0	0	0	0	0	0	0	0	0	0	0.614	0	0	0.064	0	0	0	0	2.951	0	0	0	0	0	0	0	0	0	0	0	0	0	0.251	0	0	18.044	0	0	1.446	132.364	0	0	0	0.269	0	0	0	0	5.941	0	0	0	0	0	0	0	0	0	0	0	0	1.38	0	15.173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	COLL2	0.239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	COLL2	2886.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.429	0	0	0	0	0	0	0	0	5.218	0	0	0	0	0	0	0	0	0.151	20.414	0	0	336.736	0	0	89.559	294.728	0	0	0	0	0	0	0	0	1888.006	0	0	0	0	0	0	0	0	0	0	0	0	123.651	0	89.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	COLL2	513.889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.8	0	0	158.844	0	0	20.868	0	0	0	0	0	0	0	0	0	270.66	0	0	0	0	0	0	0	0	0	0	0	0	18.926	0	17.791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	COLL2	70.201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.749	0	0	0	0	0	0.037	0	0	0	0	0	0	0	24.992	0	0	25.917	0	0	2.286	0	0	0	0	0	0	0	0	0	7.944	0	0	0	0	0	0	0	0	0	0	0	0	2.823	0	5.453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	COLL2	284.271	0	0	0	0	0.158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.944	0	0	1.704	0	0	24.172	0	0	0	0	0	0	0	0	0	219.713	0	0	0	0	0	0	0	0	0	0	0	0	25.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
